Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/08/01 00:18,2121656,84CBE5C50,2121656,84CBE5C50,2292.21,US Dollar,2292.21,US Dollar,Reinvestment,0
2022/08/01 00:13,169917,81A93C310,140569,83937AC10,77772.75,US Dollar,77772.75,US Dollar,ACH,0
2022/08/01 00:23,2152708,846304F60,2152708,846304F60,20584.86,US Dollar,20584.86,US Dollar,Reinvestment,0
2022/08/01 00:18,178105,83A51FBA0,178105,83A51FBA0,4.31,US Dollar,4.31,US Dollar,Reinvestment,0
2022/08/01 00:29,4011,80205DE90,4011,80205DE90,6183.62,US Dollar,6183.62,US Dollar,Reinvestment,0
2022/08/01 00:05,2103526,83DFC7E80,2103526,83DFC7E80,71.34,US Dollar,71.34,US Dollar,Reinvestment,0
2022/08/01 00:11,363273,8177B8A50,363273,8177B8A50,13905.56,US Dollar,13905.56,US Dollar,Reinvestment,0
2022/08/01 00:00,110059,81F6E19F0,93138,83C717780,41991.03,US Dollar,41991.03,US Dollar,Cash,0
2022/08/01 00:29,31317,82A4BD350,31317,82A4BD350,21.43,US Dollar,21.43,US Dollar,Reinvestment,0
2022/08/01 00:20,3144827,834F13790,29507,834E44A80,0.01,US Dollar,0.01,US Dollar,Cheque,0
2022/08/01 00:10,6138,8409BEB60,6138,8409BEB60,11.79,US Dollar,11.79,US Dollar,Reinvestment,0
2022/08/01 00:11,2141024,84D036910,161260,83F81CD90,58.98,US Dollar,58.98,US Dollar,Credit Card,0
2022/08/01 00:02,20,8002106B0,357,8002EC730,69323.21,Euro,69323.21,Euro,Cheque,0
2022/08/01 00:06,867,8067463C0,126398,84E76C110,1401.0,US Dollar,1401.0,US Dollar,Cheque,0
2022/08/01 00:25,20,8212E4300,161430,85201B0C0,27185.03,US Dollar,27185.03,US Dollar,Credit Card,0
2022/08/01 00:18,136339,833885210,136339,833885210,372157.18,US Dollar,372157.18,US Dollar,Reinvestment,0
2022/08/01 00:09,27076,80D716500,27076,80D716500,1779.12,US Dollar,1779.12,US Dollar,Reinvestment,0
2022/08/01 00:04,214684,83D3CF580,125585,84E2E94A0,5133.07,US Dollar,5133.07,US Dollar,Cheque,0
2022/08/01 00:07,70,100428660,157485,81BFBEF20,2470.75,US Dollar,2470.75,US Dollar,Credit Card,0
2022/08/01 00:24,12866,8018F2910,12866,8018F2910,79.51,Euro,79.51,Euro,Reinvestment,0
2022/08/01 00:01,13016,810DB54D0,13016,810DB54D0,367.08,US Dollar,367.08,US Dollar,Reinvestment,0
2022/08/01 00:06,48911,818B02B60,48911,818B02B60,9.91,US Dollar,9.91,US Dollar,Reinvestment,0
2022/08/01 00:27,38459,834645B40,38459,834645B40,32817.34,US Dollar,32817.34,US Dollar,Reinvestment,0
2022/08/01 00:11,18822,805C6FF80,18822,805C6FF80,5.1,US Dollar,5.1,US Dollar,Reinvestment,0
2022/08/01 00:08,340662,833FBBB60,340662,833FBBB60,5844.95,US Dollar,5844.95,US Dollar,Reinvestment,0
2022/08/01 00:04,122252,810CC7AE0,122252,810CC7AE0,335375.41,US Dollar,335375.41,US Dollar,Reinvestment,0
2022/08/01 00:24,110715,81CCBA2B0,110715,81CCBA2B0,20.39,US Dollar,20.39,US Dollar,Reinvestment,0
2022/08/01 00:10,18112,8079B2730,18112,8079B2730,30264.52,US Dollar,30264.52,US Dollar,Reinvestment,0
2022/08/01 00:16,37910,811075610,37910,811075610,3683.97,US Dollar,3683.97,US Dollar,Reinvestment,0
2022/08/01 00:07,147055,8122CB580,147055,8122CB580,7.49,US Dollar,7.49,US Dollar,Reinvestment,0
2022/08/01 00:00,60001,81DC416D0,60001,81DC416D0,906999.44,US Dollar,906999.44,US Dollar,Reinvestment,0
2022/08/01 00:04,194212,8517CAFA0,2211258,8517C8750,1907.0,US Dollar,1907.0,US Dollar,ACH,0
2022/08/01 00:08,2954,80097C6E0,2954,80097C6E0,13.34,US Dollar,13.34,US Dollar,Reinvestment,0
2022/08/01 00:10,70,100428660,25444,803810020,12119.79,US Dollar,12119.79,US Dollar,Credit Card,0
2022/08/01 00:17,7998,809DDE990,7998,809DDE990,13848232.66,US Dollar,13848232.66,US Dollar,Reinvestment,0
2022/08/01 00:18,246851,82A073E80,53863,841810040,359481.37,US Dollar,359481.37,US Dollar,Wire,0
2022/08/01 00:22,220255,80C10C670,220255,80C10C670,344289.28,US Dollar,344289.28,US Dollar,Reinvestment,0
2022/08/01 00:07,256528,81ECEAC70,256528,81ECEAC70,17582.44,US Dollar,17582.44,US Dollar,Reinvestment,0
2022/08/01 00:25,237491,834AA64C0,237491,834AA64C0,897.14,US Dollar,897.14,US Dollar,Reinvestment,0
2022/08/01 00:21,15325,8030AE560,15325,8030AE560,13.11,US Dollar,13.11,US Dollar,Reinvestment,0
2022/08/01 00:26,1115501,830C898B0,1115501,830C898B0,40044.2,US Dollar,40044.2,US Dollar,Reinvestment,0
2022/08/01 00:20,5665,8139D0140,5665,8139D0140,18.45,US Dollar,18.45,US Dollar,Reinvestment,0
2022/08/01 00:23,1126349,8378085D0,1126349,8378085D0,6.2,US Dollar,6.2,US Dollar,Reinvestment,0
2022/08/01 00:01,131429,80CE553D0,131429,80CE553D0,4571849.99,US Dollar,4571849.99,US Dollar,Reinvestment,0
2022/08/01 00:06,120797,811E82C20,120797,811E82C20,6.35,US Dollar,6.35,US Dollar,Reinvestment,0
2022/08/01 00:21,38090,81C5F3F70,64150,81C600CA0,0.01,US Dollar,0.01,US Dollar,Cheque,0
2022/08/01 00:21,223529,80E553870,223529,80E553870,14611.12,US Dollar,14611.12,US Dollar,Reinvestment,0
2022/08/01 00:27,17976,811A1F700,14027,811B504E0,37253.87,US Dollar,37253.87,US Dollar,Cheque,0
2022/08/01 00:21,76716,82B86B330,76716,82B86B330,5158.55,US Dollar,5158.55,US Dollar,Reinvestment,0
2022/08/01 00:22,139890,8395FEBB0,139890,8395FEBB0,11.72,US Dollar,11.72,US Dollar,Reinvestment,0
2022/08/01 00:02,59055,81CCED230,59055,81CCED230,17.77,US Dollar,17.77,US Dollar,Reinvestment,0
2022/08/01 00:16,28348,806B55D50,28348,806B55D50,302.78,US Dollar,302.78,US Dollar,Reinvestment,0
2022/08/01 00:08,21418,801401FF0,1100738,83342C5E0,11299.76,US Dollar,11299.76,US Dollar,Cheque,0
2022/08/01 00:00,273388,820DBCC60,285103,843899FE0,98563.24,US Dollar,98563.24,US Dollar,Cheque,0
2022/08/01 00:06,544,801CD7D20,544,801CD7D20,13744.83,US Dollar,13744.83,US Dollar,Reinvestment,0
2022/08/01 00:28,21418,8009804C0,13676,819F23270,105424.25,US Dollar,105424.25,US Dollar,Cheque,0
2022/08/01 00:04,70,100428660,112599,8079476B0,574.53,US Dollar,574.53,US Dollar,Credit Card,0
2022/08/01 00:03,325588,80DC30E80,34458,80DC305E0,5372.4,US Dollar,5372.4,US Dollar,ACH,0
