Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/10/02 15:39,0224668,80AE73010,0129528,80B942460,184.99,US Dollar,184.99,US Dollar,ACH,1
2022/08/01 00:16,54922,8187C0020,54922,8187C0020,593129.88,US Dollar,593129.88,US Dollar,Reinvestment,0
2022/08/01 00:05,1214556,852083650,91414,8342D16B0,1.29,US Dollar,1.29,US Dollar,Credit Card,0
2022/08/01 00:00,213895,80923C8E0,24833,813329860,2360.16,US Dollar,2360.16,US Dollar,Cheque,0
2022/08/01 00:09,2188549,84D8EF7F0,2188549,84D8EF7F0,770.35,US Dollar,770.35,US Dollar,Reinvestment,0
2022/10/07 01:43,008341,80C443700,0037910,80F642810,15643.68,US Dollar,15643.68,US Dollar,ACH,1
2022/08/01 00:19,28474,82506AA70,287261,82506A980,14828244.82,US Dollar,14828244.82,US Dollar,ACH,0
2022/10/24 05:00,013179,80283B0B0,028219,8035CA030,444.92,US Dollar,444.92,US Dollar,ACH,1
2022/09/21 23:35,007030,80538C0B0,02310,80038CAF0,16381.55,US Dollar,16381.55,US Dollar,ACH,1
2022/08/01 00:26,1922,800B41E20,1922,800B41E20,9.5,US Dollar,9.5,US Dollar,Reinvestment,0
2022/08/01 00:15,952,824FA8B00,952,824FA8B00,581.93,US Dollar,581.93,US Dollar,Reinvestment,0
2022/11/15 14:49,011848,80E4ECD80,0027496,8177D1A40,611.33,Euro,611.33,Euro,ACH,1
2022/09/03 10:16,0010,821F8B2E0,0293268,8222D5910,11937.99,UK Pound,11937.99,UK Pound,ACH,1
2022/09/10 09:35,024878,8060FDA50,0119206,81C8D03F0,12851.60,Euro,12851.60,Euro,ACH,1
2022/08/01 00:28,196045,847693D60,196045,847693D60,23519.41,US Dollar,23519.41,US Dollar,Reinvestment,0
2022/09/02 19:46,004214,822BAAA80,0029723,80D28D690,130562.67,Yuan,130562.67,Yuan,ACH,1
2022/08/01 00:07,40428,81AEAD720,38459,81AF825E0,803.11,US Dollar,803.11,US Dollar,Credit Card,0
2022/11/11 01:13,011,80006FD60,025644,805753EC0,16499.47,US Dollar,16499.47,US Dollar,ACH,1
2022/11/02 17:00,00369,8009ECBF0,00544,8003A0BA0,18016.75,US Dollar,18016.75,US Dollar,ACH,1
2022/10/24 16:59,0117283,81B7B52B0,0252811,814D8EF20,1070270.58,Yen,1070270.58,Yen,ACH,1
2022/10/02 02:25,003,801171410,016030,8033DD990,11246.03,US Dollar,11246.03,US Dollar,ACH,1
2022/08/01 00:08,7793,8196E8EF0,7793,8196E8EF0,15.65,US Dollar,15.65,US Dollar,Reinvestment,0
2022/08/01 00:25,20,84F140C60,20,84F140C60,54976.01,US Dollar,54976.01,US Dollar,Reinvestment,0
2022/11/16 10:30,0015027,80595D3E0,0217081,8086A6000,12026.64,Euro,12026.64,Euro,ACH,1
2022/08/01 00:01,70,100428660,57486,84B855020,2485.76,US Dollar,2485.76,US Dollar,Credit Card,0
2022/10/24 14:07,0173562,81B787D20,0172128,81B787AD0,451809.30,Ruble,451809.30,Ruble,ACH,1
2022/08/01 00:14,118676,811B52E30,118676,811B52E30,18.12,US Dollar,18.12,US Dollar,Reinvestment,0
