Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type
11:48:44,2022-12-21,9135928004.0,9760763218.0,215.27,UK pounds,UK pounds,UK,UK,Cash Withdrawal,1.0,Cash_Withdrawal
13:16:05,2023-04-25,9756821524.0,1526403963.0,1900.68,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
13:13:59,2022-10-31,7119340521.0,2370330735.0,1474.2,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
17:26:10,2022-12-01,6452874953.0,9258743082.0,326.59,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
07:58:22,2022-10-20,4533337875.0,7449847264.0,1526.8,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
09:55:09,2023-05-15,3648797318.0,4991688859.0,1626.32,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
16:12:50,2022-10-26,569280613.0,1053533562.0,4361.91,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
15:39:55,2023-03-06,5652426580.0,1841229694.0,947.81,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
09:52:18,2022-12-06,7143770500.0,9080248471.0,1584.03,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
13:04:56,2023-03-16,7366353237.0,5134990846.0,3300.68,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
15:00:55,2023-02-03,7350758802.0,65377125.0,4644.37,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
14:35:35,2023-02-01,4073035623.0,9598055932.0,437.1,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
07:19:39,2023-05-08,4006773442.0,9873543889.0,1158.82,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
12:29:57,2022-11-11,255860717.0,2925976593.0,377.57,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
17:13:48,2023-04-06,9215091133.0,3072405466.0,2162.56,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
07:17:44,2023-01-27,2788284236.0,7157034785.0,3901.06,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
15:29:01,2023-05-01,2039581515.0,7844435737.0,255.53,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
15:45:03,2023-03-16,895756227.0,1457356634.0,1492.7,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
13:57:51,2023-01-23,4444244880.0,7055179592.0,5998.87,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
14:15:56,2022-11-25,6456992537.0,3722911464.0,748.43,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
11:44:34,2022-11-08,8799522901.0,1931769431.0,775.09,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
10:58:00,2023-01-19,9810369907.0,9611871713.0,1960.97,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
11:11:15,2022-12-15,6076371898.0,4836056408.0,1442.46,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
09:42:39,2022-11-25,7362828394.0,1544627726.0,940.65,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
10:51:09,2023-05-24,4460519187.0,4635650355.0,1497.7,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
16:41:13,2022-12-14,3321404275.0,1255249716.0,528.0,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
11:21:26,2022-11-08,7148476266.0,7206561753.0,1646.72,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
13:29:02,2022-12-07,1105717105.0,6606748866.0,1723.42,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
07:16:41,2023-03-09,3423319951.0,7659131803.0,1642.46,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
07:51:06,2022-11-28,3551973818.0,4009824696.0,169.29,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
11:31:18,2023-05-30,8501353850.0,980191499.0,2142.46,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
13:00:04,2023-05-24,3027209295.0,3098459676.0,2275.63,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
08:20:27,2023-01-04,4712715412.0,5091691809.0,2774.15,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
17:12:23,2022-11-14,9072051350.0,4496388351.0,1251.61,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
15:33:22,2022-10-10,6167357561.0,8493165332.0,1671.73,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
07:59:43,2022-11-07,1754207638.0,2451985850.0,1638.08,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
15:32:02,2022-10-31,8061439201.0,4886862364.0,236.5,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
09:11:20,2022-10-19,6029881660.0,9103331275.0,874.34,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
14:55:23,2023-02-28,2339397425.0,4281069515.0,503.59,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
11:50:17,2023-02-09,4083234212.0,6712283928.0,699.91,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
16:52:46,2022-12-30,4758011071.0,9289592164.0,2375.02,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
08:33:00,2022-12-14,2002407741.0,5937469545.0,5503.21,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
12:31:31,2023-04-24,2970823340.0,8887252144.0,981.2,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
16:38:04,2022-11-25,7962721447.0,2846127779.0,682.7,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
16:41:05,2022-11-11,4822891231.0,9766020022.0,4164.43,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
12:38:51,2023-03-21,8262239372.0,528995362.0,1518.8,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
15:11:42,2022-10-21,2028616657.0,7829253679.0,3264.2,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
12:24:00,2023-01-16,6654170780.0,2359340770.0,1238.14,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
11:50:01,2023-01-18,4669294394.0,2413097637.0,2083.42,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
17:46:51,2023-03-01,7500609730.0,8404731614.0,1541.06,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
08:32:14,2023-03-08,6391808076.0,9600608792.0,1067.34,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
07:29:13,2023-01-04,4703279818.0,3093363438.0,3575.31,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
12:49:02,2023-01-31,9948441071.0,7861151986.0,3277.22,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
16:54:54,2023-03-01,4740758653.0,271052879.0,1686.72,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
17:59:09,2023-05-17,3947654531.0,8481158572.0,1325.21,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
15:02:26,2023-05-19,9215091133.0,3072405466.0,2513.28,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
10:20:08,2023-05-23,3483212440.0,381753298.0,312.23,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
13:14:15,2023-03-06,5958922995.0,2529022838.0,1206.32,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
17:48:47,2023-01-23,2521834225.0,8216803787.0,192.27,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
17:23:32,2022-12-06,9703864144.0,4237442148.0,5901.83,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
07:38:53,2023-03-29,1629386118.0,7032154715.0,3190.4,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
12:15:22,2023-04-21,9372815120.0,5213928125.0,469.08,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
11:24:49,2022-12-26,7383082878.0,7323827816.0,1999.17,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
10:03:34,2023-01-25,2453195837.0,3762748439.0,3528.51,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
13:00:36,2022-10-21,9021567705.0,5990829102.0,709.29,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
12:16:42,2023-04-12,4370269324.0,1635754417.0,5004.9,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
11:01:59,2023-03-13,6417979640.0,2957042173.0,1431.16,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
16:36:59,2022-10-19,3146609362.0,4237442148.0,2468.77,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
17:18:58,2023-03-17,7763087703.0,8988792911.0,4131.44,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
10:25:34,2023-05-30,9499736068.0,1062606089.0,1805.69,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
10:43:57,2022-10-11,7903903522.0,4788710657.0,1422.89,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
10:34:06,2022-12-07,9549346415.0,8900120664.0,2365.72,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
07:29:23,2022-11-09,9124254169.0,9440255106.0,1631.41,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
08:14:55,2022-12-30,4054279173.0,1621674868.0,375.88,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
13:30:21,2022-12-02,1826969389.0,6812957029.0,1119.24,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
17:46:50,2023-02-24,8268655231.0,5409294534.0,2694.55,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
16:52:29,2023-05-12,9944682304.0,9704485348.0,3826.52,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
13:21:24,2022-10-10,7512432218.0,5762423612.0,2084.81,UK pounds,UK pounds,UK,UK,Cash Deposit,0.0,Normal_Cash_Deposits
