Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type
20:10:33,2023-06-20,8540660424,3599815265,6804.32,UK pounds,Euro,UK,Netherlands,Cross-border,1,Fan_Out
23:01:07,2023-03-02,7956776976,415122953,18157.71,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
16:11:59,2023-02-13,8958207582,4465839311,175.35,UK pounds,UK pounds,UK,UK,Cash Withdrawal,1,Cash_Withdrawal
13:44:36,2023-02-17,4333592301,6904465248,6329.32,Naira,UK pounds,Nigeria,UK,Cross-border,1,Bipartite
12:36:34,2023-07-30,2479984730,2791748050,5064.11,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
18:21:44,2023-03-29,9724288863,5390201660,24838.94,UK pounds,UK pounds,UK,UK,Cheque,1,Bipartite
22:39:22,2023-06-02,1731585361,1916571445,8204.675188461315,UK pounds,UK pounds,UK,UK,Credit card,1,Layered_Fan_Out
23:47:27,2022-10-28,8065982188,9664819991,38000.89,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
10:04:52,2023-06-30,1131916256,8095289729,6470.41,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
21:12:40,2022-11-07,1682464689,6386710363,12202.08,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
23:10:57,2023-06-23,9633221390,6332129394,2493.96,UK pounds,Pakistani rupee,UK,Pakistan,Cross-border,1,Behavioural_Change_2
11:35:20,2022-11-10,6770601554,6128626942,125.24,UK pounds,Naira,UK,Nigeria,Cash Withdrawal,1,Cash_Withdrawal
10:32:16,2023-04-27,6536685614,787839044,11701.27,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
16:14:02,2023-07-14,4777404343,3032408782,1461.2,UK pounds,Euro,UK,Spain,Cross-border,1,Behavioural_Change_1
15:05:24,2023-05-24,3988428697,8389028236,9065.9,Mexican Peso,Euro,Mexico,Austria,Cross-border,0,Normal_Fan_Out
15:15:10,2023-06-27,5338926078,6580642475,4619.4,UK pounds,UK pounds,UK,UK,Credit card,1,Layered_Fan_In
15:38:23,2023-07-04,7661827107,8156327832,4499.8,UK pounds,UK pounds,UK,UK,Debit card,1,Stacked Bipartite
12:40:52,2022-10-18,9430804295,6085677362,433314.6,UK pounds,Euro,UK,Netherlands,Cross-border,1,Single_large
22:07:55,2022-11-24,5783727027,6844529387,3962.73,Indian rupee,UK pounds,India,UK,Cross-border,1,Structuring
08:05:25,2023-04-23,4661362868,7755251937,7497.38,UK pounds,Euro,UK,France,Cross-border,0,Normal_Plus_Mutual
21:06:50,2023-06-04,6174306361,3710325118,1956.76,UK pounds,Turkish lira,UK,Turkey,Cross-border,1,Behavioural_Change_2
